"cf_id","contact_id","company_name","description","goal","pledged","outcome","backers_count","country","currency","launched_date","end_date","category_id","subcategory_id","contact_id-2","first_name","last_name","email","category_id-2","category","subcategory_id-2","subcategory"
147,4661,"Baldwin, Riley and Jackson","Pre-emptive tertiary standardization","$100.00","$0.00","failed",0,"CA","CAD","2020-02-13","2021-03-01","cat1","subcat1",4661,"Cecilia","Velasco","cecilia.velasco@rodrigues.fr","cat1","food","subcat1","food trucks"
1621,3765,"Odom Inc","Managed bottom-line architecture","$1,400.00","$14,560.00","successful",158,"US","USD","2021-01-25","2021-05-25","cat2","subcat2",3765,"Mariana","Ellis","mariana.ellis@rossi.org","cat2","music","subcat2","rock"
1812,4187,"Melton, Robinson and Fritz","Function-based leadingedge pricing structure","$108,400.00","$142,523.00","successful",1425,"AU","AUD","2020-12-17","2021-12-30","cat3","subcat3",4187,"Sofie","Woods","sofie.woods@riviere.com","cat3","technology","subcat3","web"
2156,4941,"Mcdonald, Gonzalez and Ross","Vision-oriented fresh-thinking conglomeration","$4,200.00","$2,477.00","failed",24,"US","USD","2021-10-21","2022-01-17","cat2","subcat2",4941,"Jeanette","Iannotti","jeanette.iannotti@yahoo.com","cat2","music","subcat2","rock"
1365,2199,"Larson-Little","Proactive foreground core","$7,600.00","$5,265.00","failed",53,"US","USD","2020-12-21","2021-08-23","cat4","subcat4",2199,"Samuel","Sorgatz","samuel.sorgatz@gmail.com","cat4","theater","subcat4","plays"
2057,5650,"Harris Group","Open-source optimizing database","$7,600.00","$13,195.00","successful",174,"DK","DKK","2020-12-11","2021-08-29","cat4","subcat4",5650,"Socorro","Luna","socorro.luna@hotmail.com","cat4","theater","subcat4","plays"
1894,5889,"Ortiz, Coleman and Mitchell","Operative upward-trending algorithm","$5,200.00","$1,090.00","failed",18,"GB","GBP","2020-07-31","2021-05-11","cat5","subcat5",5889,"Carolina","Murray","carolina.murray@knight.com","cat5","film & video","subcat5","documentary"
2669,4842,"Carter-Guzman","Centralized cohesive challenge","$4,500.00","$14,741.00","successful",227,"DK","DKK","2020-12-22","2021-09-21","cat4","subcat4",4842,"Kayla","Moon","kayla.moon@yahoo.de","cat4","theater","subcat4","plays"
1114,3280,"Nunez-Richards","Exclusive attitude-oriented intranet","$110,100.00","$21,946.00","live",708,"DK","DKK","2020-04-08","2021-03-10","cat4","subcat4",3280,"Ariadna","Geisel","ariadna.geisel@rangel.com","cat4","theater","subcat4","plays"
970,5468,"Rangel, Holt and Jones","Open-source fresh-thinking model","$6,200.00","$3,208.00","failed",44,"US","USD","2021-08-13","2021-08-31","cat2","subcat6",5468,"Danielle","Ladeck","danielle.ladeck@scalfaro.net","cat2","music","subcat6","electric music"
2340,3064,"Green Ltd","Monitored empowering installation","$5,200.00","$13,838.00","successful",220,"US","USD","2020-07-11","2021-08-02","cat5","subcat7",3064,"Tatiana","Thompson","tatiana.thompson@hunt.net","cat5","film & video","subcat7","drama"
601,4904,"Perez, Johnson and Gardner","Grass-roots zero administration system engine","$6,300.00","$3,030.00","failed",27,"US","USD","2020-08-11","2021-06-26","cat4","subcat4",4904,"Caleb","Benavides","caleb.benavides@rubio.com","cat4","theater","subcat4","plays"
1950,1299,"Kim Ltd","Assimilated hybrid intranet","$6,300.00","$5,629.00","failed",55,"US","USD","2020-11-14","2021-04-09","cat5","subcat7",1299,"Sandra","Hardy","sandra.hardy@web.de","cat5","film & video","subcat7","drama"
671,5602,"Walker, Taylor and Coleman","Multi-tiered directional open architecture","$4,200.00","$10,295.00","successful",98,"US","USD","2020-11-11","2021-11-06","cat2","subcat8",5602,"Lotti","Morris","lotti.morris@yahoo.co.uk","cat2","music","subcat8","indie rock"
1683,5753,"Rodriguez, Rose and Stewart","Cloned directional synergy","$28,200.00","$18,829.00","failed",200,"US","USD","2021-11-14","2022-01-02","cat2","subcat8",5753,"Reinhilde","White","reinhilde.white@voila.fr","cat2","music","subcat8","indie rock"
505,4495,"Wright, Hunt and Rowe","Extended eco-centric pricing structure","$81,200.00","$38,414.00","failed",452,"US","USD","2021-10-25","2021-12-16","cat3","subcat9",4495,"Kerry","Patel","kerry.patel@hutchinson.com","cat3","technology","subcat9","wearables"
1245,4269,"Hines Inc","Cross-platform systemic adapter","$1,700.00","$11,041.00","successful",100,"US","USD","2021-08-20","2021-12-22","cat6","subcat10",4269,"Sophie","Antoine","sophie.antoine@andersen.com","cat6","publishing","subcat10","nonfiction"
2550,2226,"Cochran-Nguyen","Seamless 4thgeneration methodology","$84,600.00","$134,845.00","successful",1249,"US","USD","2020-04-12","2021-03-24","cat5","subcat11",2226,"Martha","Girard","martha.girard@web.de","cat5","film & video","subcat11","animation"
875,1558,"Johnson-Gould","Exclusive needs-based adapter","$9,100.00","$6,089.00","canceled",135,"US","USD","2021-03-24","2022-01-27","cat4","subcat4",1558,"Stephanie","King","stephanie.king@cervantes.com","cat4","theater","subcat4","plays"
2283,2307,"Perez-Hess","Down-sized cohesive archive","$62,500.00","$30,331.00","failed",674,"US","USD","2021-10-12","2021-11-17","cat4","subcat4",2307,"Amanda","Palmer","amanda.palmer@didier.fr","cat4","theater","subcat4","plays"
118,2900,"Reeves, Thompson and Richardson","Proactive composite alliance","$131,800.00","$147,936.00","successful",1396,"US","USD","2020-04-12","2021-04-09","cat5","subcat7",2900,"Lina","Alcala","lina.alcala@vespa.net","cat5","film & video","subcat7","drama"
711,5695,"Simmons-Reynolds","Re-engineered intangible definition","$94,000.00","$38,533.00","failed",558,"US","USD","2021-03-14","2021-04-29","cat4","subcat4",5695,"Itzel","Murphy","itzel.murphy@muelichen.de","cat4","theater","subcat4","plays"
1747,5708,"Collier Inc","Enhanced dynamic definition","$59,100.00","$75,690.00","successful",890,"US","USD","2020-07-06","2021-08-04","cat4","subcat4",5708,"Filippo","Parry","filippo.parry@live.com","cat4","theater","subcat4","plays"
1825,1663,"Gray-Jenkins","Devolved next generation adapter","$4,500.00","$14,942.00","successful",142,"GB","GBP","2021-07-23","2021-09-12","cat5","subcat5",1663,"Katelyn","Cole","katelyn.cole@fiebig.com","cat5","film & video","subcat5","documentary"
1019,3605,"Scott, Wilson and Martin","Cross-platform intermediate frame","$92,400.00","$104,257.00","successful",2673,"US","USD","2021-05-01","2021-10-01","cat3","subcat9",3605,"Brian","Novak","brian.novak@ford.net","cat3","technology","subcat9","wearables"
821,4678,"Caldwell, Velazquez and Wilson","Monitored impactful analyzer","$5,500.00","$11,904.00","successful",163,"US","USD","2020-10-09","2021-05-23","cat7","subcat12",4678,"Cilly","Gay","cilly.gay@callegaro.it","cat7","games","subcat12","video games"
2653,2251,"Spencer-Bates","Optional responsive customer loyalty","$107,500.00","$51,814.00","canceled",1480,"US","USD","2020-11-20","2021-07-27","cat4","subcat4",2251,"Yolanda","Snyder","yolanda.snyder@gmx.de","cat4","theater","subcat4","plays"
2502,6202,"Best, Carr and Williams","Diverse transitional migration","$2,000.00","$1,599.00","failed",15,"US","USD","2021-01-08","2021-10-15","cat2","subcat2",6202,"Evelin","Odonnell","evelin.odonnell@ibarra.net","cat2","music","subcat2","rock"
325,3715,"Campbell, Brown and Powell","Synchronized global task-force","$130,800.00","$137,635.00","successful",2220,"US","USD","2020-12-23","2021-12-23","cat4","subcat4",3715,"Ingeborg","Alba","ingeborg.alba@hotmail.com","cat4","theater","subcat4","plays"
